,category,header,content
0,politics,"After sinking the Moskva, Ukraine hits Russian occupiers on Snake Island.","<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">After sinking the Moskva, Ukraine hits Russian occupiers on Snake Island. The Operational Command South of the Ukrainian Ground Forces has disclosed news about a strike on Zmiinyi, Snake Island, that destroyed a Russian control post and an anti-aircraft missile system “9K35 Strela-10,” last Tuesday. Any losses of lives among… Hey, remember when I was wondering why Justice Clarence Thomas hadn’t been impeached? My reasoning was that he refused to recuse himself from a case that involved a lobbyist that his wife worked for and then compounded that error by not reporting her income.</p>"
1,politics,The Far Right Is Seizing Control of Our Democracies,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">We’re Underestimating How Badly Our Democracies Are Collapsing into Fascism —  When I look at America today — and much of the world, though I’ll use America as the example here — I see something incredibly chilling at work. Something that’s being broadly, widely underestimated. The far right is seizing control of society. Its institutions, norms, values. Its offices and laws… I believe we’re in for an economic thrashing…</p>"
2,politics,Twitter’s Hostile Takeover Teaches us How Democracies Die,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Our Institutions are Falling to the Far Right, One by One. That’s a Fascist Collapse. —  Twitter died yesterday. That’s a joke. (Not really.) The first three words of Camus’ The Stranger are “Mother died yesterday.” Twitter — unfortunately — shaped our world as much as that great book did. And now — well, it’s no more. As flawed as it was — and it was… She was… “But E,” I’d say, “You’re fifteen years behind the industry. Uncensored free…</p>"
3,politics,Why Elon Musk Buying Twitter Is Even Worse Than You Think,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">If You’re Thinking of Leaving Twitter, Come Join Us at Medium — Because It’s the Antidote —  Yes, your gut is correct. Elon Musk buying Twitter is really bad news. In so, so many ways, it’s hard to even begin to count. But let’s try, anyways, just to get the frustration out of our systems. Twitter is a terrible business. As Josh Brown said, it’s about the… Well, here’s a great example of why there…</p>"
4,politics,"The World Consumes More Than 170,000 Terawatt Hours of Energy Every Year","<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">It’s time to get responsible. —  Energy prices are going up. Maybe you’ve noticed. The world is fighting over resources now, from oil to natural gas. Just recently, Russia stopped gas supplies to Poland and Bulgaria in retaliation for supplying weapons to Ukraine. … … In short, value is what we want. Most people don’t want war, or atrocity…</p>"
5,politics,Elon Musk May Turn the Digital Town Square into a Colosseum,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">The world’s richest man could use Twitter to radically disrupt politics —  Ten years ago, Google did something unprecedented for a giant tech company. It blacked out the landing page for search and replaced it with a call to action, urging people to email their elected representatives in Congress to stop legislation that Google feared would break the internet. It was part… “That means nigger citizenship. Now, by God, I’ll put him through. That is the last speech he will ever make.”</p>"
6,politics,The Fight Against “Gender Ideology” Is Coming For You,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">As the right wing moves to immiserate or kill everyone but cis, straight white guys, the targets don’t even know they’re in the same fight. —  Writing about gender as a trans feminist feels like a fool’s errand in 2022. For one thing, our enemies understand the field of play better than we do. As the right mounts a plan to immiserate or kill everyone who isn’t a straight, white guy, starting with the most vulnerable…</p>"
7,politics,Xi Jinping Cannot Get Out of the Zero-COVID or He Will Admit That the Chinese Model Is Not Superior.,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Xi Jinping’s credibility is at stake in a crucial year for him. —  Some 2,000 kilometers away and a huge gap. … The economy. Inflation. The rising cost of everything we buy from new houses… When I was young, I would watch various films and TV shows that had villains and their henchmen and I would wonder about these henchmen. Why were they following this villain’s instructions? Why were they loyal to a bad person who ordered them to…</p>"
8,politics,The World Throws Away 1.6 Billion Tons of Food Every Year,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">It’s time for a better plan. —  Let’s face it, we’re in a global food crisis. Drought is hammering North and South America. War has interrupted Ukraine’s wheat harvest. Heat waves threaten India’s crop production. On top of that, politicians are pulling stunts that result in hundreds of millions of dollars in food going bad. Famine is… Andrew Ross Sorkin appeared on MSNBC to discuss student debt. Progressives are fighting very hard to empower the president to use his authority to…</p>"
9,politics,How Will the Revelation of Ginni Thomas’ Texts Affect Clarence Thomas?,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Democrats are holding hearings on impeachment and imposing a code of ethics on SCOTUS —  Hey, remember when I was wondering why Justice Clarence Thomas hadn’t been impeached? My reasoning was that he refused to recuse himself from a case that involved a lobbyist that his wife worked for and then compounded that error by not reporting her income. Well, it just got worse. The…</p>"
10,politics,Chuck Schumer Says Biden is “More Open” to Cancelling $50k in Student Loan Debt.,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">I’ll believe it when I see it. —  The 2020 election feels like an eternity ago. Of course, it’s difficult not to look back on it without considering all the campaign promises made by Biden and the Democratic Party that were never kept. Virtually everything Democrats claimed to stand for, whether it be making the child tax credit…</p>"
11,politics,The War in Ukraine is getting HOT,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Crude Oil and Gas War. —  In the last days, the war advanced on a new scale. Big collusion between Russia and the West is not only a wish for some pro-war enthusiasts. It’s increasing daily. Many countries are proving now ready to take risks that they rejected six weeks ago. The unthinkable is now thinkable…</p>"
12,politics,Bernie Sanders is Running in 2024 & I Have Something to Say About It,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Can we please get the grandparents off the stage —  DISCLAIMER This is not an ageist rant. I am a senior citizen criticizing my peers. Yuh know how I’m always complaining that the Democrats have no exciting, popular candidates to run against Trump or DeSantis or any other Trump wannabe in 2024? Well, here’s a great example of why there…</p>"
13,politics,"Ocean Microplastics Have Now Been Discovered 9,000 Feet up a French Mountain","<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">We’re going to breathe ourselves to death if we don’t stop the fossil fuel industry —  My wife and I were halfway through our glorious five-month backpacking journey through Central America. We’d purchased one-way tickets and were traveling from the Panama Canal all the way to Mexico, volunteering at eco-villages, organic farms, and hippie communes along the way. I was so excited to visit Lake Nicaragua.</p>"
14,politics,You Are Not a Republican. I’m Sorry,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">America was shaped, chiseled, and sculpted by real Republicans —  After listening to Abraham Lincoln’s speech in the White House on April 11, 1865, John Wilkes Booth told Lewis Powell: “That means nigger citizenship. Now, by God, I’ll put him through. That is the last speech he will ever make.” Booth shot the president three days later at Ford’s Theater…</p>"
15,politics,How Will Workers Make Billionaires Richer if Billionaires Automate All the Workers’ Jobs?,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">The elite end game is ridiculous —  Hyper-elites aren’t thinking straight about the end game. Case in point: Elon Musk wants to build automated car factories that can build more automated car factories. It’s a cool idea until you realize Musk will inevitably run into the Henry Ford Problem. Ford realized that cars were expensive and workers…</p>"
16,politics,Sri Lanka on the brink,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">The following is a longer version of a piece I wrote for The New Statesman published on April 27. All pics by me. If anyone had said just a few months ago that thousands of ordinary Sri Lankans would soon take to the streets demanding the resignation of the once-widely…</p>"
17,politics,You Can become Everything In This Innocent World But Not a Leader,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">why integrity is important in leadership? You can become everything in this innocent world, but not a leader. Leader is not the one, who merely leads a group of people. He is not merely the one, who gives them a vision and leads them towards it. He is not merely…</p>"
18,politics,Can a White Billionaire Really Destroy Black Twitter? Only Time Will Tell,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">It’s a little early to write a eulogy for Black Twitter —  Elon Musk, the wealthiest man in the world, is attempting to secure a deal to buy Twitter for 44 billion dollars. When the news hit, many users felt dread in the pit of their stomachs. Because of Musk’s all-or-nothing approach to free speech, many fear his takeover will lead to…</p>"
19,politics,“Overpopulation is Not a Problem” — Here’s Why!,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">By the 1960s, the global population was growing faster than ever. And the world was covered with sayings like; More than 11,000 scientists signed a petition calling for population control. Bill Gates — “The population is growing the fastest where people are less able to deal with it!”. Too many…</p>"
20,politics,Tucker Carlson Cured My Gender Dysphoria,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">I am not really transgender, my sperm count is just too low. —  Tucker Carlson has found the cure for gender dysphoria. He can make a cisgender male out of a transgender one by increasing their testosterone. (Wait a minute I tried that and it didn’t work…) He even went further by suggesting that if I tan my testicles I will naturally increase…</p>"
21,politics,A Funeral for My Christianity,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">I am witnessing the second death of Jesus here in American Christianity and no I’m not dealing with it well. —  By John Pavlovitz A friend told me that I seemed angry lately and at first it really pissed me off. I instantly mounted a spirited, vigorous defense laying out the reasons she had assessed me incorrectly but soon found myself trailing off, resigned to a harsh, unwelcome truth: She was…</p>"
22,politics,The Strangely Conservative Politics of ‘The Batman’,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Matt Reeve’s gritty reboot set out to change the game &amp; sadly crashed headfirst into the pavement —  Director Matt Reeves’s gritty The Batman involves a newish Bruce Wayne AKA Batman (played by Robert Pattinson) battling against the criminal elements of Gotham City while simultaneously trying to stop a serial killer named the Riddler (Paul Dano). This Batman is a darker, arguably mentally unwell person, saying lines like…</p>"
23,politics,The Fight Against “Gender Ideology” Is Coming For You,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">As the right wing moves to immiserate or kill everyone but cis, straight white guys, the targets don’t even know they’re in the same fight. —  Writing about gender as a trans feminist feels like a fool’s errand in 2022. For one thing, our enemies understand the field of play better than we do. As the right mounts a plan to immiserate or kill everyone who isn’t a straight, white guy, starting with the most vulnerable…</p>"
24,politics,Why Hasn’t Racism Gone Away? It’s Convenient,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">The Benefits Outweigh The Cost of Eradicating it —  “Would any one believe that I am master of slaves by my own purchase? I am drawn along by the general inconvenience of living without them. I will not — I cannot justify it, however culpable my conduct.” — Patrick Henry Very often, I write one story that leads to…</p>"
25,politics,Florida’s Now Got an Election Police Force.,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Because what could go wrong? —  When considering what the future of the Republican Party looks like, one need look no further than Ron DeSantis and the state of Florida. The lawmaker widely known as Trump’s protege is at it again, this time for signing new election legislation into law. Fredreka Schouten with CNN writes: “Florida…</p>"
26,politics,From Versailles to Potsdam. Vladimir Putin’s view on the origins of the World War,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">As Walter Rathenau, a famous German industrialist and liberal politician of Jewish origin, once remarked, “There is no point in history, no law”. Although his words applied to the Kaiser’s Germany of the early 20th century and not to Putin’s Russia of the early 21st, they are of extraordinary relevance…</p>"
27,politics,How “Not All White People” Became an Assault on All Black People,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Unpacking the harm of a seemingly benign phrase —  When Black people discuss racism, there’s usually at least one commenter who says, “not all White people,” as if they’re telling you something special, something redeeming. White people who use this phrase attempt to undermine a credible claim of racism to lessen it. …</p>"
28,politics,I Honestly Don’t Care About Your Personal Political Affiliation,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">I’m passionate about politics and have my ideas and beliefs about the system but… —  Don’t make me feel dumb and I’ll return the favor Even though I’m passionate and an activist, an advocate for marginalized groups, and a self-proclaimed leftist, I honestly don’t care what personal beliefs you hold. That’s your cross to bear. I’m not going to harm you or make you feel stupid for what you believe in, as long as you…</p>"
29,politics,White Smoke Versus Black Smoke,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">History is a litany of bad lies —  The white smoke that appeared at 17:30 hours on March 2, 1939, suddenly turned black. Monsignor Vincenzo Santoro quickly grabbed the telephone and dialed Vatican Radio to reassure Rome and the entire world that the smoke was indeed white. Eugenio Pacelli had been elected as the new Supreme Pontiff. The…</p>"
30,politics,Book Bans Are a Slide Towards Authoritarianism,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">It’s happening right in front of our eyes. Will you take a stand against censorship? —  Banning books. I never thought I’d see it in the modern era. The United States of America is a country based on the principles of protecting free speech, no matter how offensive that speech may be. Mr. Ron DeSantis, Governor of the state of Florida, do you believe in the…</p>"
31,politics,Why Are Taxes So Complicated?,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Who would reasonably object to simplifying the tax system? —  Death and taxes are the only two certainties in life. I’m sure everybody has heard the saying in one form or another and like most people around this time of the year, I also had to do my civic duty last weekend and do my taxes. However, it was an…</p>"
32,politics,How can you get around Book Censorship?,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Banning and perhaps even burning books has been a popular pastime for some. I can only wonder if those motivated to embark upon this path have ever actually read Ray Bradbury’s dystopian “Fahrenheit 451”. For those unfamiliar with that, it is a 1953 book about a future American society in…</p>"
33,politics,"Global Military Spending Surpassed $2,000 Billion in 2021 — Putin Threat Will Accentuate This Trend.","<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">The world of the coming years looks increasingly perilous. —  The amount had been approached in 2020 and is now being largely exceeded in 2021. Despite an economic climate slowed by the COVID-19 pandemic and despite logistical disruptions and inflation, global military spending continued to rise, crossing the $2 trillion mark for the first time last year, according to the…</p>"
34,politics,Tucker Carlson Said Kevin McCarthy Was a Puppet of the Democrats,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Wow, then he is one piss poor puppet —  This is just one of those rich and delicious “in case you missed it” items from the news. I just felt compelled to dash off a quick piece on this, just to brighten your day, as it certainly brightened mine. In fact, I did a spit take with my coffee…</p>"
35,politics,33 Billion More for War?,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Say goodbye to any hopes for reducing student debt, reparations, universal health care, affordable housing, climate change alleviation funding…you get the picture. The US has a proxy war to fight! Biden is requesting a whopping 33 billion for his proxy war on Russia, aiding Ukraine on the battlefield, until kingdom…</p>"
36,politics,Biden Delivers Some Good News About the Economy,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">“What you’re seeing is enormous growth in the country,” President Joe Biden told the press today. Everywhere you look these days, from traditional to social media, one subject in particular seems to be our new national preoccupation: The economy. Inflation. The rising cost of everything we buy from new houses…</p>"
37,politics,How The Rich Get Richer Under Austerity,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">It’s prosperity for the rich, austerity for the poor —  Austerity doesn’t work and yet people keep applying it, saying the bitter medicine that killed the last fifteen patients is somehow good for you. I often think of Leo Tolstoy at these times. He said: This wonderful blindness which befalls people of our circle can only be explained by the…</p>"
38,politics,I Am A Russian Combat Dolphin,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Ask Me Anything. —  I am Sasha, the Combat Dolphin. I’m currently serving the great Russian nation by protecting its naval vessels in Sevastopol harbor. We have been brought here to patrol the Black Sea for enemy saboteurs who might threaten our ships with underwater explosives or the like. Believe it or not, I…</p>"
39,politics,The North-South Divide in the UK: The Gap is only getting bigger.,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Josh Rayner The North-South divide refers to the economic, cultural, and social divide in the UK between the North and South. This has been a prominent topic in British politics in recent years. At the last election the Conservative Manifesto ran on its idea of “levelling up” the North which…</p>"
40,politics,Are We Having Financial Difficulties Or Are We Heading For Disaster?,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">What the smart people are saying —  I’ve been an armchair economist for as long as I can remember. I’m not a financial advisor and I don’t have formal training in economics, so everything that follows is my own opinion based on what I’ve read and understood, over time. I believe we’re in for an economic thrashing…</p>"
41,politics,Artist Perspective: The Concept of “Cultural Appropriation” is Vastly Exaggerated,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">As an artist, I can and will create what I want, and let the consequences fall where they may. —  As an Artist of Color, I couldn’t care less what “WOKE” people or others believe when I am creating art, music, or performance pieces in the tradition of specific African tribes, Japanese Printmakers, Native American artisans, or from the traditions of any other culture. If I ethically credit where my…</p>"
42,politics,What A Chinese Navy Base In The Solomons Means For The World,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Why everyone is low key freaking out —  The government of the Solomon Islands recently signed a new security agreement with China that completely pivots the foreign policy of the small island nation away from Australia. Previously, Australia was the nation’s lead security partner and has worked closely with the islands in the past even including sending troops…</p>"
43,politics,The Biggest Lie for the Biggest Country,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">The fantasy world of Russian propaganda immerses Russians in their own reality, separate from the rest of the world. In this parallel reality, the Russian president is a hero who starts a war so that peace can come (do not look for logic), and the Russian occupiers are liberators (it…</p>"
44,politics,"One Small Step for Musk, One Giant Leap for Fascist Trolls","<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Elon Musk could ruin Twitter. —  Elon Musk just bought Twitter. Honestly, I haven’t felt this much dread since Donald Trump won the presidency in 2016. Musk says he’s making the deal to protect freedom of speech, and I don’t buy it for a second. A lot of optimists are busy right now trying to tell…</p>"
45,politics,The Failed Russian Revolution of 1825,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">The Decembrist uprising ultimately paved the way for the successful revolution of 1917 —  The Imperial Russian army and their Prussian and Austrian allies marched on Paris in March of 1814. The Napoleonic wars that had raged in Europe since 1801 were coming to an end. Napoleon was forced to recognize himself as defeated. The French military dictator had no choice but to surrender…</p>"
46,politics,Is it time for the GOP to ditch Trump? It might be the only way to reclaim the White House.,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">As the Republican Party looks forward to slaughtering their opponent on election day in November, they should remember that history favors winners who get things done! Republicans won both chambers of Congress in the first midterm election against liberal President Bill Clinton not long ago. Clinton did, however, win re-election…</p>"
47,politics,YES! Forgive student debt now. Here’s why the corporations & rich must pay for it.,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Now that some student debt relief may be at hand, the corporatocracy has sent out its misinformed. Here’s the deal. Student Debt Forgiveness? Andrew Ross Sorkin appeared on MSNBC to discuss student debt. Progressives are fighting very hard to empower the president to use his authority to…</p>"
48,politics,John Barron writes Vlad’s declaration of victory speech,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Thank you, thank you. Da. Thank you. Folks, they said we couldn’t win. Couldn’t be done. People came up to me, big manly Russian men and women, with tears in their eyes, and said, “Mr. Putin, sir, you can’t mean it. It’s crazy. It’s too bold. Too macho. It can’t…</p>"
49,politics,When Fearlessness Becomes Recklessness,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">I am to the Philippine drug situation what an audience member is to a feature film displayed on a cinema screen: I watch everything unfold before my eyes, yet I do not play a part in the show before me. I am not a dealer of illegal drugs, a user…</p>"
50,politics,2022 predictions revisited: where we are now,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">This past December, I challenged myself to make some predictions for the new year — including how the global economy might respond to some brimming international tensions. As we get close to mid-year, I’m circling back to see how those predictions have aged. My prediction: China seeking retribution after Olympic boycotts. Where we are: A lot of bark…</p>"
51,politics,An inconvenient Truth Fighting drug smugglers at the border is senseless Stop the demand at home,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Is drug legalization the answer? —  Unfortunately, those who want to fight the drug problem at the border forget America’s capitalist instincts. Solve the demand, not the supply. Solve the drug problem at home One of my listeners continues to blame the border drug smuggling on Democrats. Of course, we know that drugs flow across the borders irrespective of the President…</p>"
52,politics,Can We Speak? When Speech Has Color: Aphonic Speech and Respectability Politics,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Sharon Jacob &amp; Leonard McMahon The current hostility among representatives on both sides of the aisle sheds important light on the relationship between respectability politics and speech. …</p>"
53,politics,"If Putin Was Around in The 1800s, Would the USA be Russian Today?","<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Would Russia have colonised the USA? Russia wanted to. Russia has always been a country looking for dominance and expansion, it seems, but the same was true of the British Empire in the 19th Century. Britain, however embraced democracy over time, although Britain started out with a small percentage of…</p>"
54,politics,"What Worked for Us, Will Not Work for Them","<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Little Timmy was told to find something he loves, and do it for a living…Timmy loves video games, watching YouTube, and social media…what’s the job for that? If I don’t love going to work….I’m not going I know every generation has some version of this. Those crazy kids! With their blaring music and provocative clothing and radical ideas…they’re all…</p>"
55,politics,Restorative Justice in Tennessee,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">“Bennett’s Law” will make drunk drivers pay child support to their victims There are many varieties of justice. American jurisprudence has focused on retribution. This means balancing the books by inflicting pain on the criminal in proportion to the harm he has done. There may be a sense of balance…</p>"
56,politics,Inflation’s root causes-The Meyer Daily,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">America has been on a unique path because of Mr Biden’s excessive $1.9trn fiscal stimulus, which passed in March 2021. It added extra oomph to an economy that was already recovering fast after multiple rounds of spending, and brought the total pandemic stimulus to 25% of gdp — the highest…</p>"
57,politics,Should Politicians Talk About God In The Public Arena?,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">By Mike Edwards Spiritual leaders and politicians say we must turn to God as a nation. But believers and unbelievers in God don’t share their understanding of truth and God. Moral truths can be pursued through one’s understanding of natural law or God, depending on their beliefs. Natural law truths…</p>"
58,politics,No Happy Endings,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Too many aren’t paying enough attention to the GOP —  What’s the point? Addressing the many lies and misinformation bombarding Trump supporters and die-hard right-wingers is a challenging, frustrating effort. It’s like playing tennis against multiple opponents at the same time. Continuing denial of the threats posed by climate change; relentless chatter about a stolen election; banning classroom discussions of…</p>"
59,politics,Jocelyn Sage Mitchell Discusses the Varieties of Democracy,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">Boston, Massachusetts Mar 26, 2022 (Issuewire.com) — On March 2, 2022, the Varieties of Democracy (V-Dem) Project released its latest, updated version of its award-winning dataset, which provides historical and modern-day data of 202 countries on all sorts of important aspects of politics, including governing systems, political equality, media and…</p>"
